,Suburbs,Country,Lat,Lng
110,Barwon Downs,AU,-38.4667,143.75
111,Barwon Heads,AU,-38.2667,144.5333
112,Bass,AU,-38.4842,145.4687
113,Batesford,AU,-38.1,144.2833
114,Baw Baw,AU,-37.97,146.144
115,Baxter,AU,-38.2,145.15
116,Bayles,AU,-38.1833,145.5667
117,Bayswater,AU,-37.85,145.2667
118,Bayswater North,AU,-37.827,145.2837
119,Beaconsfield,AU,-41.2,146.8167
120,Beaconsfield Upper,AU,-38,145.4167
121,Bealiba,AU,-36.8,143.55
122,Bearii,AU,-35.899,145.3391
123,Beaufort,AU,-37.4167,143.3833
124,Beaumaris,AU,-37.9822,145.0389
125,Beeac,AU,-38.2,143.6333
126,Beech Forest,AU,-38.6333,143.5667
127,Beechworth,AU,-36.3667,146.7167
128,Belgrave,AU,-37.9,145.35
129,Belgrave Heights,AU,-37.9167,145.35
130,Belgrave South,AU,-37.9333,145.3333
131,Bell Park,AU,-38.1077,144.3384
132,Bell Post Hill,AU,-38.0973,144.3236
133,Bellarine,AU,-38.1333,144.6167
134,Bellbrae,AU,-38.3333,144.2667
135,Bellbridge,AU,-36.0991,147.0621
136,Bellfield,N/A,N/A,N/A
137,Belmont,AU,-33.0333,151.6667
138,Bemm River,N/A,N/A,N/A
139,Bena,AU,-38.4167,145.7667
140,Benalla,AU,-36.55,145.9833
141,Bendigo,AU,-36.7667,144.2833
142,Benjeroop,N/A,N/A,N/A
143,Benloch,AU,-37.2167,144.7
144,Bentleigh,AU,-37.9181,145.0354
145,Bentleigh East,AU,-37.9201,145.0599
146,Benwerrin,N/A,N/A,N/A
147,Beremboke,AU,-37.7833,144.25
148,Berringa,AU,-37.7667,143.7
149,Berrys Creek,AU,-38.4167,146.0667
150,Berwick,AU,-38.0333,145.35
151,Bet Bet,AU,-36.9239,143.7573
152,Bete Bolong,N/A,N/A,N/A
153,Bethanga,AU,-36.1167,147.1
154,Beulah,AU,-35.9333,142.4333
155,Beverford,AU,-35.233,143.4806
156,Beveridge,AU,-37.4833,144.9833
157,Big Hill,AU,-34.5483,150.0011
158,Big Pats Creek,AU,-37.7833,145.75
159,Binginwarri,N/A,N/A,N/A
160,Birchip,AU,-35.9833,142.9333
161,Birdwoodton,N/A,N/A,N/A
162,Birregurra,AU,-38.3333,143.7833
163,Bittern,AU,-38.3333,145.1667
164,Black Hill,AU,-37.5501,143.8744
165,Black Range,AU,-36.7347,149.8475
166,Black Rock,AU,-37.9736,145.0164
167,Blackburn,AU,-37.819,145.1533
168,Blackburn North,AU,-37.8093,145.1518
169,Blackburn South,AU,-37.8397,145.1555
170,Blackwood,AU,-35.0167,138.6167
171,Blairgowrie,N/A,N/A,N/A
172,Blind Bight,AU,-38.2142,145.3378
173,Bobinawarrah,AU,-36.5167,146.5
174,Bochara,AU,-37.7,141.9333
175,Boho,AU,-36.7167,145.8333
176,Boisdale,AU,-37.8833,146.9833
177,Bolinda,AU,-37.4333,144.75
178,Bolwarra,AU,-32.7167,151.5667
179,Bona Vista,AU,-30.5267,151.6331
180,Bonbeach,AU,-38.0653,145.1228
181,Bonegilla,AU,-36.15,147
182,Boneo,AU,-38.4167,144.8833
183,Bonnie Doon,AU,-37.0167,145.8667
184,Bookaar,N/A,N/A,N/A
185,Boola,N/A,N/A,N/A
186,Boolarra,AU,-38.3833,146.2667
187,Boolarra South,AU,-38.45,146.2833
188,Boorolite,N/A,N/A,N/A
189,Boort,AU,-36.1167,143.7167
190,Boosey,N/A,N/A,N/A
191,Boralma,N/A,N/A,N/A
192,Boronia,AU,-37.8667,145.2833
193,Borung,AU,-36.3,143.75
